Data;Process_name;Process_pid;Cpu_percent;Cpu_times_user;Cpu_times_system;Memory_percent;Memory_rss;Memory_vms
 12.12.2019 15:54:49; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:54:50; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:54:50; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:54:50; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:54:50; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:54:50; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:54:50; chromedriver.exe; 8804; 0.0; 0.03; 0.06; 0.08; 13.54; 6.87
 12.12.2019 15:54:50; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:54:50; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:54:50; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:54:50; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:54:50; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.1; 6.53
 12.12.2019 15:54:50; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:54:50; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:54:50; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:54:50; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:54:50; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:54:50; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:54:51; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:54:51; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:54:51; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:54:51; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:54:51; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:54:51; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:54:51; chromedriver.exe; 8804; 1.8; 0.05; 0.08; 0.08; 13.74; 7.01
 12.12.2019 15:54:51; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:54:51; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:54:51; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:54:51; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:54:51; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.1; 6.53
 12.12.2019 15:54:51; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:54:51; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:54:51; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:54:51; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:54:51; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:54:51; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:54:55; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:54:55; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:54:55; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:54:55; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:54:55; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:54:55; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:54:55; chromedriver.exe; 8804; 1.0; 0.06; 0.09; 0.09; 13.93; 7.08
 12.12.2019 15:54:55; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:54:55; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:54:55; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:54:55; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:54:55; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.1; 6.53
 12.12.2019 15:54:55; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:54:55; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:54:55; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:54:55; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:54:55; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:54:55; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:54:55; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:54:55; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:54:55; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:54:55; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:54:55; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:54:55; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:54:55; chromedriver.exe; 8804; 0.0; 0.06; 0.09; 0.09; 13.93; 7.08
 12.12.2019 15:54:55; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:54:55; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:54:55; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:54:55; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:54:55; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.1; 6.53
 12.12.2019 15:54:55; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:54:55; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:54:55; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:54:55; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:54:55; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:54:55; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:54:59; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:54:59; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:54:59; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:54:59; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:54:59; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:54:59; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:54:59; chromedriver.exe; 8804; 0.4; 0.08; 0.09; 0.09; 13.98; 7.09
 12.12.2019 15:54:59; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:54:59; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:54:59; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:54:59; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:54:59; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.1; 6.53
 12.12.2019 15:54:59; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:54:59; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:54:59; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:54:59; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:54:59; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:54:59; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:55:00; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:55:00; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:55:00; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:55:00; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:55:00; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:55:00; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:55:00; chromedriver.exe; 8804; 0.0; 0.08; 0.09; 0.09; 13.98; 7.09
 12.12.2019 15:55:00; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:55:00; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:55:00; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:55:00; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:55:00; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.1; 6.53
 12.12.2019 15:55:00; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:55:00; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:55:00; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:55:00; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:55:00; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:55:00; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:55:15; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:55:15; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:55:15; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:55:15; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:55:15; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:55:15; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:55:15; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:55:15; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:55:15; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:55:15; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:55:15; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.1; 6.53
 12.12.2019 15:55:15; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:55:15; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:55:15; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:55:15; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:55:15; chromedriver.exe; 11600; 0.0; 0.0; 0.02; 0.08; 13.58; 6.81
 12.12.2019 15:55:15; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:55:15; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:55:16; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:55:17; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:55:17; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:55:17; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:55:17; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:55:17; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:55:17; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:55:17; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:55:17; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:55:17; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:55:17; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.07; 6.46
 12.12.2019 15:55:17; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:55:17; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:55:17; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:55:17; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:55:17; chromedriver.exe; 11600; 7.8; 0.12; 0.02; 0.08; 13.79; 7.05
 12.12.2019 15:55:17; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
 12.12.2019 15:55:17; chromedriver.exe; 12272; 0.0; 0.02; 0.05; 0.08; 13.01; 6.61
 12.12.2019 15:55:19; chromedriver.exe; 2608; 0.0; 0.05; 0.02; 0.08; 13.18; 6.66
 12.12.2019 15:55:19; chromedriver.exe; 5112; 0.0; 0.08; 0.05; 0.08; 13.67; 6.56
 12.12.2019 15:55:19; chromedriver.exe; 6124; 0.0; 0.05; 0.05; 0.08; 13.23; 6.71
 12.12.2019 15:55:19; chromedriver.exe; 6236; 0.0; 0.03; 0.02; 0.08; 12.93; 6.44
 12.12.2019 15:55:19; chromedriver.exe; 6612; 0.0; 0.08; 0.11; 0.08; 13.37; 6.73
 12.12.2019 15:55:19; chromedriver.exe; 8080; 0.0; 0.05; 0.05; 0.08; 13.4; 6.68
 12.12.2019 15:55:19; chromedriver.exe; 8972; 0.0; 0.05; 0.05; 0.08; 12.95; 6.4
 12.12.2019 15:55:19; chromedriver.exe; 9112; 0.0; 0.09; 0.08; 0.08; 13.44; 7.0
 12.12.2019 15:55:19; chromedriver.exe; 10000; 0.0; 0.03; 0.05; 0.08; 13.25; 6.59
 12.12.2019 15:55:19; chromedriver.exe; 10056; 0.0; 0.08; 0.08; 0.08; 13.2; 6.68
 12.12.2019 15:55:19; chromedriver.exe; 10248; 0.0; 0.08; 0.03; 0.08; 13.07; 6.46
 12.12.2019 15:55:19; chromedriver.exe; 10620; 0.0; 0.06; 0.03; 0.08; 13.61; 6.5
 12.12.2019 15:55:19; chromedriver.exe; 10656; 0.0; 0.14; 0.05; 0.08; 13.7; 6.57
 12.12.2019 15:55:19; chromedriver.exe; 10684; 0.0; 0.03; 0.03; 0.08; 13.21; 6.55
 12.12.2019 15:55:19; chromedriver.exe; 10764; 0.0; 0.08; 0.03; 0.08; 13.15; 6.65
 12.12.2019 15:55:19; chromedriver.exe; 11600; 0.0; 0.12; 0.02; 0.09; 13.98; 7.41
 12.12.2019 15:55:19; chromedriver.exe; 12136; 0.0; 0.03; 0.02; 0.08; 12.96; 6.4
